INODE,X,Y,ILAY,head_predev_m
231235,616250,7100750,7,414.2758
231236,617750,7100750,7,410.6773
231237,619250,7100750,7,405.6905
231238,620750,7100750,7,399.8745
231239,622250,7100750,7,393.747
231240,623750,7100750,7,388.1084
231241,625250,7100750,7,383.2724
231242,626750,7100750,7,379.2557
231243,628250,7100750,7,375.9185
231244,629750,7100750,7,373.1034
231245,631250,7100750,7,370.7402
231246,632750,7100750,7,368.7245
231247,634250,7100750,7,366.8437
231248,635750,7100750,7,364.8651
231249,637250,7100750,7,362.9217
231250,638750,7100750,7,361.4778
231251,640250,7100750,7,360.3799
231252,641750,7100750,7,359.6345
231253,643250,7100750,7,359.1808
231254,646250,7100750,7,360.4953
231255,649250,7100750,7,364.1427
231256,650750,7100750,7,365.1472
231257,652250,7100750,7,367.354
231258,653750,7100750,7,368.9574
231259,655250,7100750,7,370.2732
231260,656750,7100750,7,371.6232
231261,658250,7100750,7,373.2365
231262,659750,7100750,7,374.3937
231263,661250,7100750,7,375.873
231264,662750,7100750,7,378.5273
231265,685250,7100750,7,434.9041
231266,686750,7100750,7,426.9984
231267,742250,7100750,7,330.6719
231268,743750,7100750,7,336.8645
231269,745250,7100750,7,345.0513
231270,746750,7100750,7,351.2721
231271,748250,7100750,7,348.7301
231272,749750,7100750,7,337.5649
231273,766250,7100750,7,337.3686
231274,767750,7100750,7,337.3435
231275,769250,7100750,7,331.2318
231276,770750,7100750,7,327.9217
231277,772250,7100750,7,327.119
231278,773750,7100750,7,323.6072
231279,551750,7099250,7,404.258
231280,553250,7099250,7,404.2068
231281,554750,7099250,7,404.0713
231282,556250,7099250,7,403.8506
231283,557750,7099250,7,403.5414
231284,559250,7099250,7,403.1411
231285,560750,7099250,7,402.6468
231286,562250,7099250,7,402.0555
231287,563750,7099250,7,401.3694
231288,565250,7099250,7,400.5933
231289,566750,7099250,7,399.737
231290,568250,7099250,7,398.815
231291,569750,7099250,7,397.887
231292,571250,7099250,7,396.9227
231293,572750,7099250,7,395.9009
231294,574250,7099250,7,394.7888
231295,575750,7099250,7,393.584
231296,577250,7099250,7,392.2678
231297,578750,7099250,7,390.788
231298,580250,7099250,7,389.0841
231299,581750,7099250,7,387.0894
231300,583250,7099250,7,384.7236
231301,584750,7099250,7,381.8804
231302,586250,7099250,7,378.3198
231303,587750,7099250,7,373.7632
231304,589250,7099250,7,368.3116
231305,590750,7099250,7,363.6507
231306,592250,7099250,7,361.7788
231307,593750,7099250,7,364.2859
231308,595250,7099250,7,367.6632
231309,596750,7099250,7,370.9002
231310,598250,7099250,7,375.2254
231311,599750,7099250,7,379.3007
231312,601250,7099250,7,383.3142
231313,602750,7099250,7,387.3624
231314,604250,7099250,7,391.4246
231315,605750,7099250,7,395.3923
231316,607250,7099250,7,399.0675
231317,608750,7099250,7,402.3412
231318,610250,7099250,7,405.1139
231319,611750,7099250,7,407.1316
231320,613250,7099250,7,408.0446
231321,614750,7099250,7,407.4937
231322,616250,7099250,7,405.2577
231323,617750,7099250,7,401.4695
231324,619250,7099250,7,396.5212
231325,620750,7099250,7,391.0229
231326,622250,7099250,7,385.5354
231327,623750,7099250,7,380.6708
231328,625250,7099250,7,376.6553
231329,626750,7099250,7,373.4023
