INODE,X,Y,RCH_SS_m_per_day
782275,622250,7192250,9.2365981e-06
782276,623750,7192250,9.1365873e-06
782277,625250,7192250,9.0941257e-06
782278,626750,7192250,9.1036818e-06
782279,628250,7192250,8.5459369e-06
782280,635750,7192250,1.0173765e-05
782281,637250,7192250,1.0222836e-05
782282,736250,7192250,9.5045853e-06
782283,737750,7192250,9.5217574e-06
782284,739250,7192250,9.3818717e-06
782285,740750,7192250,9.3190056e-06
782286,742250,7192250,9.4061561e-06
782287,743750,7192250,9.4495508e-06
782288,745250,7192250,9.46622e-06
782289,746750,7192250,9.5141413e-06
782290,748250,7192250,8.6874024e-06
782291,749750,7192250,5.8306309e-06
782292,751250,7192250,4.7771086e-06
782293,752750,7192250,4.8183269e-06
782295,755750,7192250,4.3658515e-06
782299,761750,7192250,4.1068806e-06
782306,772250,7192250,4.0703826e-06
782307,773750,7192250,5.0789363e-06
782308,775250,7192250,6.9490525e-06
782309,776750,7192250,7.2567213e-06
782310,778250,7192250,7.2935068e-06
782311,551750,7190750,8.4582116e-06
782312,553250,7190750,8.1964026e-06
782313,554750,7190750,8.0634863e-06
782314,559250,7190750,5.653163e-06
782315,560750,7190750,5.6270396e-06
782316,590750,7190750,5.9923364e-06
782317,595250,7190750,7.9433594e-06
782318,596750,7190750,7.9590218e-06
782319,598250,7190750,7.7691311e-06
782320,599750,7190750,7.6520209e-06
782321,601250,7190750,7.7459244e-06
782322,602750,7190750,7.7781842e-06
782323,604250,7190750,7.7687e-06
782324,605750,7190750,7.7768909e-06
782325,607250,7190750,7.7866616e-06
782326,608750,7190750,7.7953555e-06
782327,610250,7190750,7.780196e-06
782328,611750,7190750,7.7469304e-06
782329,613250,7190750,8.0155651e-06
782330,614750,7190750,8.2587658e-06
782331,616250,7190750,8.2901624e-06
782332,617750,7190750,8.5458651e-06
782333,619250,7190750,8.9903078e-06
782334,620750,7190750,9.0901749e-06
782335,622250,7190750,9.0935509e-06
782336,623750,7190750,8.9169525e-06
782337,625250,7190750,8.8375618e-06
782338,626750,7190750,8.8520746e-06
782339,628250,7190750,9.1394613e-06
782340,629750,7190750,9.4101079e-06
782341,631250,7190750,9.3108156e-06
782342,632750,7190750,9.4146335e-06
782343,634250,7190750,9.7347101e-06
782344,635750,7190750,9.8200644e-06
782345,637250,7190750,9.8255241e-06
782346,736250,7190750,9.2939317e-06
782347,737750,7190750,9.3247536e-06
782348,739250,7190750,9.1089987e-06
782349,740750,7190750,8.9665264e-06
782350,742250,7190750,8.9558935e-06
782351,743750,7190750,9.0303984e-06
782352,745250,7190750,9.1416887e-06
782353,746750,7190750,9.2238088e-06
782356,751250,7190750,4.8032753e-06
782357,752750,7190750,4.8081392e-06
782358,754250,7190750,4.574566e-06
782361,758750,7190750,4.4136868e-06
782372,775250,7190750,5.4041284e-06
782373,776750,7190750,6.4797077e-06
782374,778250,7190750,7.3376204e-06
782375,779750,7190750,7.3383389e-06
782376,781250,7190750,7.3141268e-06
782377,782750,7190750,7.2532007e-06
782378,784250,7190750,7.5334742e-06
782379,551750,7189250,8.5171978e-06
782380,553250,7189250,8.1441704e-06
782381,554750,7189250,7.9984657e-06
782382,556250,7189250,8.1183052e-06
782383,563750,7189250,6.7755e-06
782384,590750,7189250,7.6511587e-06
782385,592250,7189250,7.5614944e-06
782386,595250,7189250,7.9478141e-06
782387,596750,7189250,7.9692236e-06
782388,598250,7189250,7.7835002e-06
782389,599750,7189250,7.6548949e-06
782390,601250,7189250,7.6871547e-06
782391,602750,7189250,7.7380937e-06
782392,604250,7189250,7.7995946e-06
782393,605750,7189250,7.7745917e-06
782394,607250,7189250,7.7588575e-06
782395,608750,7189250,7.7850809e-06
782396,610250,7189250,7.799882e-06
782397,611750,7189250,7.8059884e-06
782398,613250,7189250,8.0795089e-06
782399,614750,7189250,8.3065434e-06
782400,616250,7189250,8.2836968e-06
782401,617750,7189250,8.4720068e-06
782402,619250,7189250,8.8320294e-06
782403,620750,7189250,8.9900204e-06
782404,622250,7189250,9.070417e-06
782405,623750,7189250,8.9584801e-06
